year,storage_hub_id,province,injectivity_mtpa,available_capacity_mt,remaining_capacity_before_mt,storage_use_mtpa,remaining_capacity_after_mt,injectivity_utilization,source,year_basis
2030,S001,,163.58,356039.6178388596,356039.6178388596,0.0,356039.6178388596,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S002,,200.0,269771.7851946354,269771.7851946354,0.0,269771.7851946354,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S003,,144.1,254995.3517217636,254995.3517217636,0.0,254995.3517217636,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S004,,136.38,166924.51876938343,166924.51876938343,0.0,166924.51876938343,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S005,,48.78,156687.57989120483,156687.57989120483,0.0,156687.57989120483,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S006,,47.2,143203.43833732605,143203.43833732605,0.0,143203.43833732605,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S007,,29.0,76781.36996459961,76781.36996459961,0.0,76781.36996459961,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S008,,14.0,57529.94723701477,57529.94723701477,0.0,57529.94723701477,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S009,,13.8,47580.681423187256,47580.681423187256,0.0,47580.681423187256,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S010,,20.76,43997.81009578705,43997.81009578705,0.0,43997.81009578705,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S011,,51.74,41735.55007648468,41735.55007648468,0.0,41735.55007648468,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S012,,89.49377392185852,37207.92123627663,37207.92123627663,0.0,37207.92123627663,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S013,,53.84,36129.91768717766,36129.91768717766,0.0,36129.91768717766,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S014,,8.1,28549.55069923401,28549.55069923401,0.0,28549.55069923401,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S015,,5.66,21678.832732200623,21678.832732200623,0.0,21678.832732200623,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S016,,35.68,19589.584608078003,19589.584608078003,0.0,19589.584608078003,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S017,,16.12,17671.274443745613,17671.274443745613,0.0,17671.274443745613,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S018,,3.84,16699.858610630035,16699.858610630035,0.0,16699.858610630035,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S019,,5.86,16564.247387051582,16564.247387051582,0.0,16564.247387051582,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S020,,110.86,13734.407603770494,13734.407603770494,0.0,13734.407603770494,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S021,,9.2,12474.537512779236,12474.537512779236,0.0,12474.537512779236,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S022,,9.8,11478.864406585692,11478.864406585692,0.0,11478.864406585692,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S023,,4.94,11214.92970085144,11214.92970085144,0.0,11214.92970085144,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S024,,3.9,10902.43142747879,10902.43142747879,0.0,10902.43142747879,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S025,,16.94,6984.811875343323,6984.811875343323,0.0,6984.811875343323,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S026,,13.84,5118.765743434429,5118.765743434429,0.0,5118.765743434429,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S027,,2.14,4746.485103607178,4746.485103607178,0.0,4746.485103607178,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S028,,3.68,4374.271440327168,4374.271440327168,0.0,4374.271440327168,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S029,,2.48,3326.0998516082764,3326.0998516082764,0.0,3326.0998516082764,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S030,,0.64,361.7329874038696,361.7329874038696,0.0,361.7329874038696,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S031,,0.44,73.9141092300415,73.9141092300415,0.0,73.9141092300415,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S032,,6.32,3327.408933442086,3327.408933442086,0.0,3327.408933442086,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S033,,1.8,816.3722261786461,816.3722261786461,0.0,816.3722261786461,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S034,,0.02,612.261962890625,612.261962890625,0.0,612.261962890625,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S035,,0.42,599.1699979156256,599.1699979156256,0.0,599.1699979156256,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S036,,0.12,323.2549203634262,323.2549203634262,0.0,323.2549203634262,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S037,,0.02,221.5590667724609,221.5590667724609,0.0,221.5590667724609,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S038,,0.86,211.9749123752117,211.9749123752117,0.0,211.9749123752117,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S039,,0.18,160.9542030543089,160.9542030543089,0.0,160.9542030543089,0.0,封存汇图层-Fan,Fan_raster_5km
2030,S040,,0.32,158.53928762674332,158.53928762674332,0.0,158.53928762674332,0.0,封存汇图层-Fan,Fan_raster_5km
